Date,Symbols,Close,High,Low,Open,Volume
2015-02-10,GOOGL,27.008000000000003,27.05,26.4585,26.6075,47423160.0
2015-02-11,DIA,159.24200000000002,159.602,158.233,158.713,5805074.988875
2015-02-11,SPY,180.31,180.778,179.37400000000002,180.011,104441369.814
2015-02-11,MCHI,45.7063,45.7233,45.408,45.5606,438636.5469691
2015-02-11,QQQ,98.4787,98.7043,98.0296,98.2312,21549460.207913
2015-02-11,AAPL,28.2567,28.2667,27.7235,27.7824,324761659.57531
2015-02-11,BABA,86.0,87.7,85.82,87.58,12365741.0
2015-02-11,TSLA,14.1867,14.315999999999999,13.8187,14.1473,144862455.0
2015-02-11,META,76.51,76.75,75.03,75.09,20871414.0
2015-02-11,XOM,63.6483,63.81100000000001,63.0817,63.2414,17421356.885748003
2015-02-11,AMZN,18.757,18.855,18.555,18.5615,55720860.0
2015-02-11,GOOGL,26.9,27.0975,26.8,26.9865,38306720.0
2015-02-12,DIA,160.252,160.332,159.512,159.722,4200519.204724399
2015-02-12,SPY,182.012,182.082,180.34900000000002,181.18599999999998,111813486.37844
2015-02-12,MCHI,46.3857,46.4546,46.0266,46.2081,506874.46724402
2015-02-12,QQQ,99.5986,99.6385,98.9728,99.1005,23955911.047334
2015-02-12,AAPL,28.6192,28.8489,28.4175,28.5254,328956391.21256
2015-02-12,BABA,87.1,88.3,85.55,85.6,15171241.0
2015-02-12,TSLA,13.5253,13.5393,12.8853,12.9047,234683715.0
2015-02-12,META,76.23,76.87,75.89,76.84,17224534.0
2015-02-12,XOM,64.8904,65.0972,63.9433,64.2522,21127811.811872
2015-02-12,AMZN,18.8585,18.9255,18.6575,18.755,55819800.0
2015-02-12,GOOGL,27.3005,27.416999999999998,26.85,26.983,48590400.0
2015-02-13,DIA,160.68200000000002,160.842,160.172,160.40200000000002,4487230.851317599
2015-02-13,SPY,182.799,182.859,181.85299999999998,182.162,107463719.98764001
2015-02-13,MCHI,46.6621,46.7439,46.5104,46.6711,489424.82852921
2015-02-13,QQQ,100.48700000000001,100.507,99.6984,99.898,30886042.687712
2015-02-13,AAPL,28.7561,28.802,28.4375,28.802,239071707.48936
2015-02-13,BABA,89.05,89.3,87.65,88.2,14648080.0
2015-02-13,TSLA,13.5847,13.7327,13.394,13.526,92662620.0
2015-02-13,META,75.74,76.48,75.5,76.46,18527575.0
2015-02-13,XOM,65.5923,65.6501,64.8276,65.1236,17167633.519109
2015-02-13,AMZN,19.0915,19.15,18.8505,18.9155,69495420.0
2015-02-13,GOOGL,27.558000000000003,27.627,27.33,27.3755,47376120.0
2015-02-17,DIA,160.872,160.972,160.122,160.452,3199554.5134147997
2015-02-17,SPY,183.09799999999998,183.287,182.19099999999997,182.46,88318347.085339
2015-02-17,MCHI,46.8866,46.9664,46.6451,46.8776,499909.24583962
2015-02-17,QQQ,100.57700000000001,100.647,100.227,100.48700000000001,18803740.472164
2015-02-17,AAPL,28.9308,29.1625,28.7191,28.8519,278825089.59026
2015-02-17,BABA,86.85,88.99,86.7,88.78,15188140.0
2015-02-17,TSLA,13.6233,13.7133,13.4333,13.7133,59668905.0
2015-02-17,META,75.6,76.91,75.08,75.3,25249089.0
2015-02-17,XOM,65.3698,65.3864,64.8345,65.15899999999999,16734794.924483
2015-02-17,AMZN,18.7715,18.999000000000002,18.6335,18.886,73463820.0
2015-02-17,GOOGL,27.2505,27.65,27.163,27.558000000000003,39173380.0
2015-02-18,DIA,160.782,160.96200000000002,160.382,160.542,3057565.2699333997
2015-02-18,SPY,183.11700000000002,183.197,182.40099999999998,182.699,92310981.491997
2015-02-18,MCHI,46.7259,46.8057,46.5653,46.7159,232689.91489273
2015-02-18,QQQ,100.726,100.77600000000001,100.32700000000001,100.45700000000001,16099640.585192999
2015-02-18,AAPL,29.1255,29.1395,28.8419,28.8839,198295763.96305
2015-02-18,BABA,86.74,87.43,86.5,87.1,7418412.0
2015-02-18,TSLA,13.6307,13.7447,13.5067,13.6113,40688550.0
2015-02-18,META,76.71,76.9,75.45,75.94,22421516.0
2015-02-18,XOM,63.9365,64.6257,63.4992,64.6257,27296864.724137
2015-02-18,AMZN,18.6685,18.837,18.6425,18.689,53006540.0
2015-02-18,GOOGL,27.1325,27.3775,26.9775,27.191,31163060.0
2015-02-19,DIA,160.46200000000002,160.752,159.882,160.282,2989316.313129
2015-02-19,SPY,182.968,183.36599999999999,182.301,182.47,104937794.04839
2015-02-19,MCHI,46.6711,46.7968,46.4845,46.6002,114583.85599184
2015-02-19,QQQ,101.195,101.265,100.62700000000001,100.65700000000001,21089613.980795
2015-02-19,AAPL,29.0656,29.1954,29.0397,29.0726,164957020.79896998
2015-02-19,BABA,86.89,87.87,86.71,86.81,7602524.0
2015-02-19,TSLA,14.114,14.1627,13.5833,13.6667,77259675.0
2015-02-19,META,79.42,79.84,76.95,76.99,45836978.0
2015-02-19,XOM,62.8307,63.5218,62.2288,62.9748,27542503.102781
2015-02-19,AMZN,18.9495,19.094,18.6715,18.6715,59024740.0
2015-02-19,GOOGL,27.3225,27.343000000000004,27.0375,27.1235,30833380.0
2015-02-20,DIA,161.372,161.421,159.042,159.65200000000002,10004898.898598
2015-02-20,SPY,184.043,184.13299999999998,181.82299999999998,182.54,161671280.9132
2015-02-20,MCHI,46.9943,47.0043,46.4845,46.5922,159084.49416874
2015-02-20,QQQ,101.86399999999999,101.92399999999999,100.82600000000001,101.13600000000001,30149551.710341997
2015-02-20,AAPL,29.3073,29.3073,28.9807,29.1026,216172428.21673
2015-02-20,BABA,86.64,87.29,86.38,87.25,7818368.0
2015-02-20,TSLA,14.474,14.5067,13.9873,14.052,89700600.0
2015-02-20,META,79.89,80.34,79.2,79.55,36919616.0
