Date,DIA,SPY,AAPL,AMZN,BABA,GOOGL,MCHI,META,QQQ,TSLA,XOM
6/23/2015,0.001108572,0.000697601,-0.004510547,0.022232918,-0.007002801,0.006628788,0.023998736,0.03705452,0.00086117,0.030336099,-0.001201728
6/24/2015,-0.009590836,-0.007260715,0.008372621,-0.011547344,0.001057828,-0.008555352,0.001709112,0.01115157,-0.00505741,-0.009341709,-0.00457206
6/25/2015,-0.003913238,-0.003122147,-0.004565504,-0.001678614,0.000821886,-0.001109977,-0.015616955,-0.009903219,-0.001921783,0.013649734,-0.008857687
6/26/2015,0.002494357,-0.000216742,-0.006028982,-0.004544422,-0.0229939,-0.008764226,-0.025880615,0.000340987,-0.006623664,-0.006322792,-0.000841036
6/29/2015,-0.019525759,-0.020828027,-0.017474481,-0.018808491,-0.026536984,-0.021353922,-0.028425914,-0.025110783,-0.023608769,-0.018982365,-0.012395519
6/30/2015,0.00101508,0.002258286,0.007127536,0.009840413,0.014802023,-0.002235566,0.022274976,-0.000407925,0.003374824,0.023814976,0.004580306
7/1/2015,0.009183499,0.007864101,0.009319167,0.00760211,0.002309469,0.00603659,-0.007106681,0.013350434,0.007795343,0.003315813,-0.009997811
7/2/2015,-0.00219177,-0.001035616,-0.001178475,0.000731613,-0.004729566,0.007436039,0.000476905,0.004372339,0.000294481,0.040388334,0.009375477
7/6/2015,-0.002265818,-0.002951001,-0.003407339,-0.003815312,-0.022419885,-0.003142471,-0.050450361,0.002978577,-0.002247213,-0.001071352,-0.007340718
7/7/2015,0.005734184,0.006464106,-0.00247606,0.00155949,-0.007603141,0.008082548,-0.040505434,-0.003769275,0.00244898,-0.042326255,0.004143117
7/8/2015,-0.014796277,-0.016868181,-0.024892082,-0.016074373,-0.021100226,-0.015144628,-0.066615946,-0.018000459,-0.017336447,-0.048234194,-0.010889156
7/9/2015,0.001400623,0.001879219,-0.020256855,0.010914592,0.014113421,0.005445819,0.050235776,0.002685347,-0.000489232,0.011613609,-0.00450902
7/10/2015,0.012390888,0.012652608,0.026714942,0.020994958,0.015941296,0.021041036,0.051540018,0.0241034,0.015253526,0.004768911,0.007631541
7/13/2015,0.012057121,0.010916265,0.019209697,0.027192172,0.019427148,0.028087968,0.00518985,0.024445708,0.017769469,0.011611014,0.002408968
7/14/2015,0.004213152,0.004477644,-0.000416735,0.021950524,-0.004397752,0.021776013,-0.000797391,-0.004661487,0.006467455,0.013314414,0.008394854
7/15/2015,6.18E-05,-0.00037777,0.009550369,-0.009407823,-0.009447853,-0.000376596,-0.023422843,0.000892061,0.001152627,-0.00944664,-0.004246566
7/16/2015,0.00413961,0.008065735,0.013305108,0.03098506,0.009909575,0.030515789,0.019316641,0.012143494,0.013978701,0.013452889,0.001789458
7/17/2015,-0.002030507,0.000851533,0.008962513,0.015836628,0.022445725,0.162584333,0.009349432,0.045349477,0.014637562,0.029923448,-0.003587849
7/20/2015,0.000801524,0.0005351,0.018675474,0.010538084,-0.008277351,-0.009690975,-0.004327544,0.030957144,0.003441073,0.027666883,-0.010322087
7/21/2015,-0.009542819,-0.00404854,-0.010049548,-0.000204876,-0.001572517,0.00362277,0.00552292,0.004902461,-0.000557605,-0.054875035,-0.001167302
7/22/2015,-0.003669793,-0.001659292,-0.042147851,0.000553279,0.019505694,-0.000359531,-0.012718348,-0.013720907,-0.01140939,0.00412152,0.001576663
7/23/2015,-0.006367757,-0.005836,-0.000491962,-0.012472607,-0.003208556,-0.029305136,-0.000169614,-0.016488046,-0.00366831,-0.00250308,-0.00796929
7/24/2015,-0.009355248,-0.010290537,-0.005372053,0.097971712,-0.010252742,-0.029582203,-0.011107365,0.015821459,-0.009704888,-0.006697243,-0.014739044
7/27/2015,-0.007287234,-0.006040628,-0.013803123,0.00375883,-0.01951337,0.005345388,-0.044454594,-0.028674575,-0.008179374,-0.046722053,-0.008552593
7/28/2015,0.01040735,0.012484669,0.005014301,-0.01012401,-0.01031941,0.002111596,0.017663428,0.011893384,0.008535179,0.046682042,0.040618577
7/29/2015,0.006948967,0.006980168,-0.00306347,0.005646066,-0.003723932,0.0026832,0.013597042,0.017840277,0.003812138,-0.003778031,0.008019212
7/30/2015,-0.000188381,0.000264325,-0.005215674,0.014669187,-0.003737852,0.004732171,-0.013564757,-0.018352407,0.004737582,0.011257676,-0.001548632
7/31/2015,-0.003385211,-0.001607101,-0.00887142,-0.001136448,-0.02026013,-0.01062357,-0.001826154,-0.012603718,-0.00122842,-0.002400765,-0.045815015
8/3/2015,-0.005167535,-0.003440844,-0.02376849,-0.002088968,-0.004467705,0.010980989,-0.015586057,0.001382832,-0.003027522,-0.023141129,-0.014503009
8/4/2015,-0.002343804,-0.001891681,-0.03165766,-0.005850139,0.011283498,-0.005175111,0.004881826,-0.000849798,-0.001983355,0.024191269,-0.011417586
8/5/2015,0.00025398,0.003242046,0.006478653,0.009607069,0.012045138,0.018161747,0.007241375,0.025302998,0.007682945,0.014460342,0
8/6/2015,-0.006468486,-0.007973368,0.002169801,-0.014059329,-0.010774242,-0.004663666,-0.011238571,-0.013687267,-0.015909262,-0.088845947,0.011944618
8/7/2015,-0.00217233,-0.002068021,0.003420787,-0.012918823,-0.00177305,-0.008595091,0.010404168,-0.00862069,-0.001246524,-0.014711708,-0.016111799
8/10/2015,0.013119982,0.012581471,0.036578891,0.002640542,0.020933773,-0.001881425,0.022831496,-0.001590668,0.011395929,-0.005647201,0.024930957
8/11/2015,-0.011496432,-0.008980015,-0.052204134,0.006603053,-0.038896483,0.040956661,-0.012339303,-0.005629315,-0.012691391,-0.015631998,-0.006748047
8/12/2015,0.00063937,0.00124778,0.015342751,-0.002938611,-0.051202483,0.001694915,-0.019247756,0.006088443,0.003259302,0.003368152,0.016739256
8/13/2015,0.000575065,-0.001300645,-0.000874342,0.007130498,0.023575906,-0.007173124,0.003799641,-0.008068797,-0.001523733,0.018220179,-0.00177525
8/14/2015,0.003378163,0.00363456,0.007065538,0.003511687,-0.004659832,0.004165999,0.003829896,0.010596168,0.00143008,0.002641134,-0.00369553
8/17/2015,0.004455108,0.005565117,0.010378492,0.006961168,0.005751739,0.006875843,-0.0044356,-0.005189578,0.008328621,0.048692165,0.00524791
8/18/2015,-0.002027588,-0.003007429,-0.005526701,-0.000373678,-0.01742253,-0.007750933,-0.021769862,0.01320132,-0.005123185,0.022471514,-0.011034106
8/19/2015,-0.009072843,-0.007657689,-0.012844471,-0.003925087,-0.010286952,0.007709843,-0.021635653,0.001471052,-0.006391577,-0.020976567,-0.02140591
8/20/2015,-0.020048182,-0.020918264,-0.020576304,-0.032162426,-0.038293217,-0.020978618,-0.029847159,-0.049837373,-0.027923077,-0.051208519,-0.021780572
8/21/2015,-0.031109222,-0.03119217,-0.060933447,-0.041316065,-0.030432309,-0.052172249,-0.030378176,-0.049690813,-0.043620915,-0.047109685,-0.032750264
8/24/2015,-0.036764359,-0.040792138,-0.025063674,-0.062895626,-0.034907598,-0.040246572,-0.071622235,-0.046130607,-0.038545355,-0.051570716,-0.047277945
8/25/2015,-0.01204296,-0.012062285,0.005896021,0.006474308,0.042097264,-0.009124589,0.030524561,0.011085394,-0.003736044,0.005304531,-0.000158758
8/26/2015,0.039483761,0.038450096,0.057351954,0.073761177,0.001312527,0.07717929,0.02576229,0.050481928,0.050501015,0.021856061,0.055181216
8/27/2015,0.023317052,0.024625819,0.029355145,0.035145875,0.031750655,0.012459454,0.048496522,0.029131781,0.024969935,0.08072425,0.03241483
8/28/2015,-0.00066664,5.14E-05,0.003294119,-0.000694485,-0.010869565,-0.012380981,-0.026000357,0.014265017,-0.000199562,0.022593569,0.002950602
8/31/2015,-0.006997719,-0.008062261,-0.004636845,-0.009883979,-0.056372199,-0.0179933,-0.012791541,-0.01736073,-0.012133595,0.002336209,0.002245102
9/1/2015,-0.028268741,-0.029727118,-0.044657358,-0.031878181,-0.019509982,-0.028186842,-0.04594972,-0.024600246,-0.031446247,-0.041875452,-0.041968364
9/2/2015,0.018444649,0.018709983,0.042889446,0.02821525,0.01095172,0.024382108,0.012819233,0.030494096,0.028271881,0.037966647,0.015921126
9/3/2015,0.001289736,0.00081473,-0.017446984,-0.011419058,0.014189808,-0.012187747,0.005877011,-0.019356992,-0.004884365,-0.008563106,0.007640032
9/4/2015,-0.016399222,-0.015228869,-0.010184156,-0.011333016,-0.038513615,-0.01269916,-0.027820412,0.001247873,-0.011861563,-0.014818616,-0.018043514
9/8/2015,0.024254246,0.025165774,0.027947745,0.037154309,-0.046941011,0.023721699,0.065782212,0.014389304,0.028188231,0.025792531,0.014458371
9/9/2015,-0.014528252,-0.013247398,-0.01912515,-0.001255942,0.051387293,-0.00072995,-0.000221574,0.010164191,-0.011312851,0.002979806,-0.020484122
9/10/2015,0.005524145,0.005516026,0.021959668,0.010350365,-0.0032792,0.011920859,0.004024075,0.017027864,0.010933365,-0.001729541,0.007255752
9/11/2015,0.006179672,0.004452468,0.014534035,0.013786765,0.012533292,0.006481538,0.007175117,0.000761035,0.00532685,0.007087104,0.002308587
9/14/2015,-0.003914502,-0.003565835,0.009535207,-0.015223633,-0.031409562,-0.004318633,-0.010046984,0.002824552,-0.002905212,0.011784663,-0.002718897
